source_idx,target_idx,ratio
17,75,0.0032335873832209
17,77,0.0010778624610736
17,78,0.0097007621496629
17,79,0.0021557249221473
17,81,0.0010778624610736
17,85,0.0010778624610736
17,94,0.0183236618382521
17,95,0.0010778624610736
18,1,0.1007505526325535
18,5,0.0420289874904652
18,11,0.0396603825373366
18,14,0.0115650145156399
18,15,0.0010906759696953
18,16,0.0063654547588639
18,18,0.2234848827622653
18,19,0.0016454163335921
18,26,0.0059611083171280995
18,27,0.0045883609759598
18,32,0.0027172875451892996
18,33,0.063655253870635
18,37,0.0028395184728276
18,43,0.0016172091964448
18,45,0.2993425265057701
18,47,0.0038079635148847
18,51,0.0026984827870911
18,53,0.0062337773095519
18,57,0.0079826639553089
18,58,0.0017958543983777
18,60,0.002820757857354
18,61,0.0344693423071169
18,63,0.0044849348064198
18,66,0.003262625530037
18,70,0.0033942588367244
18,78,0.0017488425031322
18,80,0.0040806325073085
18,81,0.0013539425830701
18,84,0.0046447752502543
18,90,0.0014949782688066
19,1,0.0028577678470506
19,4,0.0010688201273518
19,5,0.2740456950078224
19,11,0.0036998424126187
19,12,0.0018997586992239
19,15,0.003193363826089
19,16,0.0915917967146828
19,19,0.1931133969350189
19,22,0.0045201678074002
19,26,0.1965367739266755
19,33,0.0019638821558823
19,37,0.0040323276328547
19,39,0.0015236182924328
19,47,0.0045445049203839
19,51,0.0205748724092213
19,53,0.0023081046089106
19,57,0.0017752237838057
19,58,0.017942386237458998
19,60,0.0018051288936374
19,61,0.0019529814296587
19,63,0.0127205201230542
19,66,0.0457857426447807
19,70,0.0915991422879897
19,73,0.0013218372235594
19,74,0.0022041686677472
19,75,0.0012040205015212
19,79,0.0025921247298214
19,80,0.0040696044568233
19,83,0.0018473724753578
19,88,0.0020127916493222
19,90,0.0036922615718395996
20,3,0.0010596078792705
20,4,0.0010596078792705
20,5,0.016101526794352
20,6,0.0012628795948856
20,11,0.0010596078792705
20,12,0.0016308747359207
20,16,0.0035853670690416998
20,19,0.0032617494718414
20,20,0.0342912426746496
20,22,0.0012628795948856
20,23,0.0609794462397083
20,26,0.0016308747359207
20,27,0.0060885614060159
20,32,0.0031803279613313
20,33,0.0037515948179815
20,38,0.002119215758541
20,44,0.0736665347249579
20,47,0.0012628795948856
20,53,0.0012628795948856
20,56,0.0033980787908247
20,61,0.0028937543308063
20,63,0.0021207200820608
20,71,0.0423957856376592
20,72,0.0081099961357689
20,76,0.0010596078792705
20,77,0.0154469580227923
20,78,0.0010596078792705
20,79,0.0031803279613313
20,81,0.0010596078792705
20,84,0.0016308747359207
20,86,0.0271915878228771
20,88,0.0103140181327396
20,91,0.0010596078792705
20,92,0.4882171039703798
20,93,0.0079915306585833
20,95,0.0031803279613313
20,142,0.0030827349729832
